Title,Company,Location,Years_of_experience,Salary_$,Seniority_level,English_level,Technologies,Date_Posted,Source
Senior Python Engineer with Elasticsearch,GlobalLogic,Ukraine,3,,Lead,Intermediate,["React"],,djinni.co
Odoo developer,Antenor,Ukraine,3,1500,,,[],,djinni.co
Senior Python Engineer,Proxet,Countries of Europe or Ukraine,5,4000,Senior,Upper-Intermediate,["Django"],,djinni.co
Python developer(+Angular),SOFTLOFT,Worldwide,2,,,Intermediate,[],,djinni.co
Middle Python Developer,Vegangster,Countries of Europe,2,,Middle,Intermediate,["Tornado"; "PostgreSQL"; "MongoDB"; "Redis"; "aiohttp"; "Make"],,djinni.co
Python Backend Developer (Middle),Default Value,Countries of Europe or Ukraine,2,,,Intermediate,[],,djinni.co
Prompt engineer,3DVisual Studio,Worldwide,,,,Upper-Intermediate,[],,djinni.co
RoboDK Engineer and Consultant,A-LISTWARE,Ukraine,3,,,Intermediate,[],,djinni.co
Senior Python Developer (Algo Trading experienced),NATS,Countries of Europe or Ukraine,4,,,Intermediate,["Django"; "FastAPI"; "PostgreSQL"; "Cassandra"; "Docker"; "Kubernetes"; "GitLab CI"; "REST"; "WebSockets"; "PyTest"; "Ansible"; "asyncio"; "Celery"; "Pandas"; "NumPy"; "Kafka"; "Prometheus"; "Grafana"; "Sentry"],,djinni.co
Python Developer,PRO Gaming Software,Worldwide,2,,,Intermediate,[],,djinni.co
Python Middle Developer 🧙‍,Justmagic,Countries of Europe,3,1500,Middle,Upper-Intermediate,[],,djinni.co
Штучний інтелект і Python (блок ШІ),IT STEP Academy,Worldwide,,700,,,[],,djinni.co
Senior Backend Python Developer,Beetroot,Ukraine,4,1500,Senior,Upper-Intermediate,[],,djinni.co
Python Developer,The Originals,Countries of Europe or Ukraine,2,1000,,,["FastAPI"],,djinni.co
Python Cloud Engineer,Lemberg Solutions,Ukraine,4,1500,,Upper-Intermediate,["Django"; "Flask"; "FastAPI"; "AWS"; "REST"; "GraphQL"; "WebSockets"],,djinni.co
