Title,Company,Location,Experience,Salary,Technologies,Source
Python Developer,GoReel,Countries of Europe,None,None,Flask; PostgreSQL; Cassandra; Docker; Kubernetes; Helm; Jenkins; Git; Celery,djinni.co
Python Developer (Scraping),Dataforest,Countries of Europe or Ukraine,None,None,Flask; AWS; Selenium; Pandas,djinni.co
Python developer,Yalantis,Ukraine,None,1500,,djinni.co
Senior/Lead Python Engineer,N-iX,Ukraine,None,3700,AWS; Lambda; Make,djinni.co
Senior Python Fullstack developer,Lengin,Ukraine,None,3700,,djinni.co
Senior Python Engineer,DBB Software,Ukraine,None,3700,Flask; FastAPI; RESTful APIs; Redis; AWS; RDS; Lambda; Docker; Kubernetes; Helm; GitLab CI; Git; PyTest; Terraform; Celery; pip; Poetry; Prometheus; Grafana; Sentry,djinni.co
Python  Developer,Intobi,Ukraine,None,1500,Django,djinni.co
Python Developer,concryt.io,Countries of Europe,None,None,,djinni.co
Python/Django Engineer,Intobi,Ukraine,None,1500,Django,djinni.co
Lead Python Engineer,PLANEKS,Countries of Europe or Ukraine,None,3700,Django; Flask; FastAPI; REST,djinni.co
Senior Python Developer в продуктову компанію,ITExpert,Ukraine,None,3700,,djinni.co
Python/Django REST API Backend Developer,Smart UI,Ukraine,None,500,Django; PostgreSQL; MySQL; MongoDB; AWS; Docker; Git; REST,djinni.co
Senior Python Developer,Erbis,Countries of Europe,None,3700,REST; Make,djinni.co
Python Tech Lead,Meest Group,Ukraine,None,None,,djinni.co
Middle Python Developer,upplabs.com,Worldwide,None,1500,DynamoDB; AWS; S3; Lambda,djinni.co
